#
# Full target list for orbit 97, sector 45
# Created Tue Nov  2 12:27:10 EDT 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
# TICID	      Camera   CCD	Tmag	   RA		  Dec
450303057	3	4	11.76	149.3313	 24.0438
453027060	3	3	 8.79	144.1392	  5.0555
453027266	3	3	 9.32	144.1939	  4.2877
453027304	3	3	11.96	144.1240	  4.1112
453029782	3	3	11.43	144.3022	  4.9719
453030789	3	3	 9.80	144.4079	  3.2110
453030967	3	3	10.90	144.4665	  2.5875
453032621	3	3	 8.26	144.5922	  3.5867
453032656	3	3	10.77	144.5903	  3.7575
453032690	3	3	10.45	144.5305	  3.8823
453032888	3	3	13.54	144.5920	  4.6196
453033064	3	3	14.79	144.5100	  5.3100
453033476	3	3	10.45	144.6254	  4.9872
453033523	3	3	10.62	144.6955	  4.8075
453033571	3	3	 3.48	144.6127	  4.6490
453033674	3	3	11.01	144.6823	  4.1352
453033978	3	3	17.03	144.6221	  2.8986
453035387	3	3	 8.49	144.8254	  2.4769
453035616	3	3	11.95	144.8404	  3.4404
453035617	3	3	15.63	144.8359	  3.4421
453035828	3	3	11.36	144.8000	  4.2660
453035945	3	3	 9.71	144.7778	  4.7615
453036034	3	3	11.83	144.7415	  5.1377
453036141	3	3	11.31	144.7592	  5.5946
453047706	3	3	11.03	144.9012	  5.3489
453049604	3	3	16.92	145.0189	  2.1728
453049782	3	3	11.46	145.0078	  2.7828
453049832	3	3	 8.08	145.0414	  2.9648
453050040	3	3	 9.85	145.0057	  3.8008
453050210	3	3	11.41	145.0466	  4.4033
453050258	3	3	10.95	145.0255	  4.6623
453050642	3	3	10.17	145.1855	  5.8409
453050688	3	3	 8.36	145.1498	  5.6444
453050856	3	3	10.72	145.0896	  5.0085
453051020	3	3	 8.12	145.1808	  4.3937
453051100	3	3	11.41	145.1886	  4.0370
453051134	3	3	11.08	145.1195	  3.8960
453051486	3	3	 9.13	145.1809	  2.4869
453052912	3	3	10.07	145.2213	  3.3633
453053031	3	3	11.10	145.2936	  3.7956
453053061	3	3	10.45	145.2804	  3.8865
453053111	3	3	10.80	145.2539	  4.0802
453053289	3	3	11.29	145.2569	  4.8279
453053299	3	3	11.18	145.2185	  4.8808
453053753	3	3	11.48	145.3821	  5.2028
453054364	3	3	11.24	145.4428	  2.4826
453055383	3	3	 8.24	145.5073	  2.0632
453055633	3	3	10.99	145.4556	  3.1525
453055749	3	3	11.29	145.4612	  3.6574
453055991	3	3	10.51	145.5013	  4.7211
453056207	3	3	10.88	145.4533	  5.5885
453056598	3	3	10.88	145.6113	  4.7540
453058585	3	3	10.45	145.7199	  3.7547
453058975	3	3	10.94	145.8098	  5.5356
453058995	3	3	10.97	145.7066	  5.6147
453059101	3	3	10.05	145.9028	  5.8090
453059278	3	3	10.92	145.8325	  5.0245
453059451	3	3	 9.79	145.8740	  4.3183
453059566	3	3	11.94	145.8413	  3.7672
453059795	3	3	10.99	145.8557	  2.9026
453059861	3	3	 6.97	145.8638	  2.6275
453150130	2	4	10.39	110.0115	 12.0389
453163369	2	4	11.48	110.0361	 11.4375
453163927	2	4	 8.70	110.0384	 10.8948
453188904	2	4	15.19	111.0378	 11.8095
453189454	2	4	 5.29	111.2423	 11.6694
453209059	2	1	16.46	116.8759	 11.1252
453209422	2	1	10.74	116.8579	 11.6787
453209605	2	1	10.58	116.9143	 11.9808
453209851	2	1	10.63	117.8355	 11.7458
453209979	2	1	 9.77	117.9302	 11.5758
453210078	2	1	11.41	117.8329	 11.4245
453210132	2	1	16.48	117.9227	 11.3413
453210422	2	1	 9.35	117.9196	 10.9305
453210797	2	1	11.00	117.8861	 10.3874
453210981	2	1	16.38	117.9198	 10.1354
453211000	2	1	 9.84	117.8857	 10.1011
453211413	2	1	15.70	117.8925	  9.4319
453450729	4	3	11.03	169.4575	 -7.6448
453450733	4	3	11.50	169.4740	 -7.6206
453451193	4	3	15.04	169.5485	 -6.7923
453453283	4	3	10.51	169.7325	 -7.0580
453453534	4	3	11.01	169.8987	 -6.1012
453453566	4	3	 9.12	169.8811	 -6.2428
453453815	4	3	 8.75	169.8428	 -7.5736
453466552	4	3	10.53	169.9887	 -6.7073
453466697	4	3	11.21	169.9635	 -6.0000
455250496	3	3	11.23	146.0130	  4.7568
455250633	3	3	10.60	145.9453	  4.0758
455250718	3	3	11.21	145.9515	  3.6463
455251131	3	3	 9.56	145.9656	  2.0556
455252141	3	3	10.27	146.1339	  1.7994
455269377	3	3	10.34	146.1390	  2.1842
455269688	3	3	 5.98	146.1585	  3.3535
455269699	3	3	10.27	146.1491	  3.4013
455269708	3	3	 8.35	146.0566	  3.4408
455269830	3	3	15.61	146.1320	  3.9681
455269898	3	3	10.14	146.0999	  4.2610
455270045	3	3	 8.35	146.1046	  4.8692
455270228	3	3	 9.81	146.1186	  5.6115
455270319	3	3	11.88	146.2105	  6.0828
455270580	3	3	11.41	146.2665	  4.8614
455271061	3	3	 9.96	146.2669	  2.7401
455271271	3	3	 9.96	146.2826	  1.8036
455272118	3	3	16.96	146.3936	  1.9107
455272199	3	3	 8.09	146.3312	  2.2967
455272769	3	3	10.94	146.3454	  4.8619
455272815	3	3	11.35	146.3084	  5.0895
455273444	3	3	10.91	146.4735	  3.9807
455273515	3	3	 8.90	146.5036	  3.6206
455273537	3	3	11.76	146.4202	  3.5506
455273541	3	3	 7.81	146.4301	  3.5443
455273716	3	3	11.90	146.4554	  2.8385
455274775	3	3	 9.05	146.6245	  1.7036
455274792	3	3	 5.32	146.5980	  1.7853
455275057	3	3	11.14	146.5684	  3.0032
455275325	3	3	15.89	146.5959	  4.0822
455275368	3	3	 9.69	146.6180	  4.2881
455276283	3	3	10.63	146.7556	  3.5603
455277453	3	3	 9.53	146.8192	  1.5787
455277607	3	3	10.73	146.8683	  2.2816
455277613	3	3	 7.17	146.8459	  2.3152
455278250	3	3	 9.71	146.8731	  5.1551
455278351	3	3	11.35	146.7822	  5.7033
455278547	3	3	 8.33	146.9067	  5.5592
455278748	3	3	 9.04	146.9391	  4.6104
455279224	3	3	15.83	146.9359	  2.4081
455280083	3	3	10.19	147.0999	  1.5848
455280684	3	3	11.49	147.0644	  4.3406
455280915	3	3	11.66	147.0734	  5.5355
455280937	3	3	11.38	147.0936	  5.6185
455281100	3	3	11.12	147.2454	  5.6788
455281688	3	3	 8.61	147.2086	  2.5807
455282754	3	3	 9.42	147.3353	  2.3694
455282799	3	3	11.47	147.3559	  2.5819
455283199	3	3	10.76	147.3061	  4.4401
455283356	3	3	 9.74	147.3817	  5.1975
455283470	3	3	10.90	147.3713	  5.7690
455283535	3	3	 8.92	147.3371	  6.0279
455283567	3	3	 9.66	147.4756	  5.9642
455283592	3	3	11.53	147.4142	  5.8807
455284252	3	3	11.37	147.3953	  2.8454
455285205	3	3	 8.33	147.5117	  1.7935
455304563	3	3	 9.53	147.5995	  3.7254
455304612	3	3	10.38	147.5332	  4.0355
455304807	3	3	11.22	147.5902	  4.9967
455304841	3	3	10.95	147.5593	  5.1493
455305039	3	3	11.05	147.5718	  6.0219
455305270	3	3	12.09	147.6285	  4.9633
455305348	3	3	10.39	147.6901	  4.6194
455305368	3	3	10.75	147.7435	  4.5325
455305421	3	3	 5.79	147.6244	  4.3433
455306093	3	3	11.36	147.7081	  1.3016
456967918	1	1	 8.48	100.6384	 22.1304
456970546	1	1	11.48	100.6531	 20.5645
456973595	1	1	 8.69	100.5605	 18.7864
456997268	1	1	 9.16	100.7813	 20.9391
456998320	1	1	13.58	100.6685	 21.5741
457002958	1	1	13.28	100.9109	 23.2316
457004410	1	1	 8.03	100.8970	 22.2313
457027717	1	1	11.95	101.0164	 18.0767
457035917	1	1	12.62	101.0291	 22.7342
457035927	1	1	12.16	101.0044	 22.7421
457036114	1	1	14.60	100.9205	 22.8662
457040244	2	4	 8.33	105.3583	 16.0776
457040400	2	4	13.15	105.2944	 15.9734
457044650	2	4	 8.06	105.3904	 13.1448
457060883	2	4	 8.39	105.5089	 12.0005
457061109	2	4	10.24	105.4586	 12.1833
457062647	2	4	11.26	105.5022	 13.1512
457062681	2	4	 8.43	105.4318	 13.1712
457062689	2	4	11.39	105.5216	 13.1785
457069919	2	4	 3.61	105.6065	 17.7557
457070341	2	4	11.46	105.6384	 17.4255
457087840	2	4	 4.07	105.6386	 16.6744
457089746	2	4	 4.85	105.5729	 15.3359
457090035	2	4	10.08	105.6603	 15.1547
457092262	2	4	10.97	105.6375	 13.7570
457093061	2	4	10.94	105.6288	 13.2565
457093195	2	4	10.98	105.6021	 13.1777
457094678	2	4	14.84	105.5634	 12.2981
458377530	2	3	11.23	109.7219	 25.1490
458377744	2	3	10.74	109.8093	 25.4252
458377904	2	3	11.81	109.7548	 25.6170
458378143	2	3	 7.61	109.7286	 25.9411
458378240	2	3	10.65	109.7724	 26.0823
458378916	2	3	 8.05	109.8107	 26.9997
458379615	2	3	 8.63	109.7140	 28.0364
458379651	2	3	11.49	109.7391	 28.0858
458381145	2	2	 9.59	120.5011	 29.3124
458381175	2	2	 9.97	120.5173	 29.2252
458381402	2	2	 8.18	120.4673	 28.6335
458382239	2	2	 9.63	120.4602	 26.5369
458382304	2	2	10.73	120.4797	 26.3810
458384013	2	2	10.32	120.6564	 25.5328
458384334	2	2	10.91	120.6836	 26.2780
458384403	2	2	11.72	120.6296	 26.4269
458385325	2	2	10.83	120.6012	 28.6489
458385400	2	2	11.23	120.5911	 28.8051
458581443	2	1	 6.86	124.1409	 11.7262
458581889	2	1	 8.34	124.0598	 10.8421
458582777	2	1	 2.22	124.1286	  9.1852
458586556	2	1	 9.54	124.1569	  9.3362
458587204	2	1	 8.36	124.2216	 10.5402
458587753	2	1	11.96	124.2674	 11.7015
458587768	2	1	10.85	124.1611	 11.7421
458587946	2	1	10.65	124.3479	 11.7666
458588410	2	1	 8.23	124.3110	 10.7802
458588685	2	1	11.79	124.2820	 10.2258
458589377	2	1	 5.46	124.3818	  8.8663
458592857	2	1	 5.73	124.4200	  9.1646
458613101	2	1	 8.23	124.5483	  9.1648
458616184	2	1	10.43	124.7420	  8.6803
458616500	2	1	10.70	124.7553	  9.3981
458616804	2	1	12.67	124.6923	  9.9785
458617927	2	1	 8.21	124.8262	 11.5314
458622298	2	1	11.49	124.8933	  9.1794
458622541	2	1	 9.27	124.9360	  9.7208
458622929	2	1	15.75	124.9515	 10.6518
458623111	2	1	11.24	124.8869	 11.0611
458623298	2	1	11.30	124.9362	 11.4591
458623703	2	1	10.03	125.0520	 11.4623
458623992	2	1	10.26	125.0490	 10.8098
458624226	2	1	10.14	125.0240	 10.2816
458624242	2	1	 8.24	125.0771	 10.2535
458624318	2	1	13.04	125.0144	 10.1063
458624342	2	1	 9.88	125.0801	 10.0362
458624409	2	1	10.10	125.0545	  9.8834
458624619	2	1	 5.75	125.1214	  9.4000
458624649	2	1	12.24	125.0531	  9.3352
458624777	2	1	10.11	125.0198	  9.0595
458643123	2	1	10.65	125.1537	  8.1335
458645027	2	1	10.87	125.3623	 11.7095
458645131	2	1	10.53	125.3004	 11.4566
458645327	2	1	11.99	125.3237	 10.9942
458646186	2	1	10.01	125.3351	  9.1223
458646226	2	1	 8.55	125.2856	  9.0521
458646284	2	1	12.41	125.3435	  8.9180
458648813	2	1	11.62	125.4675	  8.3334
458649331	2	1	10.38	125.4233	  9.3903
458649476	2	1	11.75	125.3869	  9.7455
458650370	2	1	11.01	125.4496	 11.7142
458650736	2	1	 9.47	125.5952	 11.2626
458651181	2	1	10.84	125.5789	 10.2670
458654362	3	2	13.76	129.3644	  8.3411
458654567	3	2	11.19	129.3414	  8.8782
458654675	3	2	 8.26	129.2654	  9.1406
458654855	3	2	 5.85	129.2739	  9.6556
458655311	3	2	10.93	129.3334	 10.8427
458655349	3	2	 8.05	129.3054	 10.9521
458655766	3	2	13.54	129.4493	 11.9327
458656973	3	2	 9.11	129.4425	  8.8673
458657218	3	2	 9.51	129.3963	  8.1739
458657402	3	2	11.13	129.4573	  7.7123
458657448	3	2	10.03	129.4289	  7.6053
458658640	3	2	11.30	129.5405	  7.2259
458659051	3	2	11.27	129.5976	  8.2573
458676669	3	2	10.75	129.6033	  9.1869
458676830	3	2	 6.56	129.5213	  9.5745
458677588	3	2	11.49	129.5504	 11.5997
458678429	3	2	11.29	129.6601	 10.0796
458679235	3	2	11.37	129.6350	  8.0628
458679417	3	2	14.75	129.6608	  7.6015
458680872	3	2	 5.54	129.8521	  8.0174
458681225	3	2	14.64	129.8302	  8.9355
458681696	3	2	10.61	129.8291	 10.2452
458681751	3	2	 8.45	129.7772	 10.4109
458681989	3	2	 9.21	129.8202	 11.1493
458683522	3	2	10.64	131.8257	  8.3286
458683811	3	2	11.29	131.8518	  7.5674
458683821	3	2	11.22	131.9250	  7.5441
458684051	3	2	14.51	131.8302	  6.9023
458685167	3	2	 8.45	131.9809	  8.2084
458685405	3	2	14.79	132.0550	  8.9185
458685648	3	2	 8.34	132.0288	  9.6590
458685827	3	2	14.26	131.9739	 10.2536
458686359	3	2	10.90	131.9637	 11.7972
458686581	3	2	17.82	133.8382	 11.3042
458686603	3	2	12.88	133.7971	 11.2124
458686847	3	2	12.75	133.8558	 10.4693
458688331	3	2	 2.23	133.8478	  5.9457
458688815	4	4	11.25	169.3040	 14.7986
